"subj_id","rt","confidence","correct","present","easy"
208,1.77140000003576,0.791666666666667,1,-1,1
208,1.63030000001192,0.904166666666667,1,1,0
208,1.73969999998808,0.675,1,1,1
208,2.92130000001192,0.498611111111111,1,1,0
208,1.86840000003576,0.826388888888889,1,-1,1
208,1.67180000001192,0.851388888888889,1,-1,0
208,1.649,0.833333333333333,1,-1,0
208,2.1155,0.645833333333333,1,1,1
208,1.71969999998808,0.877777777777778,1,-1,1
208,1.89880000001192,0.9375,1,1,0
53,1.89729999999702,1,1,1,0
53,2.73730000000447,0.899925586202003,1,-1,1
53,2.8815,0.958016872509057,1,1,1
53,3.09439999999851,0.659261685787065,1,-1,0
53,1.957,0.993978144984852,1,1,0
53,3.83929999999702,0.61223540639564,1,-1,0
53,2.11760000000149,0.982913138069223,1,1,1
53,2.58510000000149,0.894393082744188,1,-1,1
53,1.85839999999851,1,1,1,0
53,2.366,0.963549375966871,1,-1,1
53,5.56360000000149,0.650962930600343,1,-1,0
53,1.692,0.993978144984852,1,1,1
53,2.65519999999553,0.919289348304354,1,-1,1
53,2.37769999999553,0.841834299894949,1,1,1
53,2.03460000000149,1,1,1,0
53,2.15209999999404,0.946951865593427,1,-1,0
53,2.57,0.905458089659817,1,1,1
53,1.80830000000447,1,1,1,0
53,2.38920000000298,0.681391699618324,1,-1,0
53,2.86710000000149,0.8611980619973,1,-1,1
53,2.28180000000447,0.844600551623856,1,1,1
53,1.64619999999553,0.90269183793091,1,1,0
53,2.08579999999702,0.886094327557466,1,-1,0
53,2.82989999999851,0.924821851762169,1,-1,1
53,2.56179999999702,0.905458089659817,1,-1,0
53,2.10819999999553,0.933120606948891,1,-1,1
53,1.84329999999702,1,1,1,0
53,2.337,0.993978144984852,1,1,1
53,1.94939999999851,0.971848131153593,1,-1,0
53,1.68479999999702,0.949718117322335,1,1,1
53,1.895,1,1,-1,1
53,1.74529999999702,0.982913138069223,1,1,0
53,1.7285,0.922055600033261,1,1,0
53,1.84689999999851,0.966315627695779,1,-1,0
53,2.17439999999851,0.949718117322335,1,-1,1
53,3.08690000000596,0.916523096575447,0,1,1
53,2.70079999999702,0.872263068912929,1,-1,0
53,2.50920000000298,0.886094327557466,1,-1,1
53,3.09409999999404,0.927588103491076,1,1,0
53,1.99189999999851,0.872263068912929,1,1,1
53,4.89460000000149,0.537546609715142,1,1,1
53,1.65670000000298,0.949718117322335,1,1,0
53,1.49719999999553,0.288583954113483,0,-1,1
53,2.79280000000447,0.77821051013008,1,-1,0
53,2.14040000000596,0.805873027419154,1,-1,1
53,2.1985,0.800340523961339,1,-1,0
53,2.221,0.905458089659817,1,1,1
53,1.62289999999851,1,1,1,0
53,2.1305,1,1,1,0
53,2.48840000000596,0.850133055081671,1,-1,0
53,2.20739999999851,0.930354355219983,1,1,1
53,2.117,0.805873027419154,1,-1,1
53,2.52329999999702,0.855665558539486,1,-1,1
53,3.16470000000298,0.899925586202003,1,1,1
53,2.80869999999553,0.697989209991768,1,-1,0
53,2.43789999999851,0.822470537792598,1,1,0
53,2.31719999999553,0.872263068912929,1,1,0
53,2.7285,0.841834299894949,1,-1,0
53,2.74689999999851,0.866730565455115,1,-1,1
53,2.61460000000149,0.883328075828559,1,1,1
53,2.255,0.927588103491076,1,1,0
53,2.62690000000596,0.77821051013008,1,-1,1
53,3.41759999999404,0.908224341388725,1,-1,0
53,3.1445,0.966315627695779,1,1,1
219,3.14819999999925,0.688888888888889,1,-1,0
219,4.22070000000298,0.541666666666667,1,-1,1
219,4.72390000000224,0.288888888888889,0,1,0
219,3.40509999999776,0.688888888888889,0,1,1
219,2.85940000000224,0.819444444444444,0,1,0
