"subj_id","rt","correct","present","easy"
2,3.68469999998808,1,-1,0
2,3.0885,1,1,1
2,3.56360000002384,1,1,0
2,3.219,1,-1,1
2,3.07860000002384,1,-1,0
2,4.28669999998808,1,1,0
2,3.20030000001192,1,1,1
2,2.73080000001192,1,-1,0
2,2.66019999998808,1,1,1
2,2.4785,1,-1,1
2,2.54869999998808,1,1,0
2,2.37310000002384,1,-1,0
2,3.96469999998808,1,1,0
2,2.7695,1,-1,1
2,5.04610000002384,1,1,1
2,2.39509999996424,1,-1,0
2,3.12729999995232,1,-1,1
2,3.4335,1,1,1
2,2.211,1,1,0
3,6.14,0,-1,0
3,3.05,1,1,1
3,2.495,1,1,0
3,5.144,1,-1,1
3,6.771,1,-1,0
3,3.044,1,1,0
3,4.017,1,-1,1
3,2.375,1,1,1
3,4.199,1,-1,1
3,2.962,1,1,0
3,4.559,1,-1,0
3,2.972,1,1,1
3,3.341,1,-1,1
3,2.713,1,1,1
3,2.035,1,1,0
3,4.086,1,-1,0
3,1.771,1,1,1
3,2.42,1,-1,0
3,2.213,1,1,0
3,2.777,1,-1,1
3,2.461,1,1,0
3,2.953,1,-1,0
3,2.889,1,-1,1
3,2.199,1,1,1
3,4.051,1,-1,1
3,2.459,1,1,0
3,2.181,1,-1,0
3,3.716,1,1,1
3,3.599,0,1,1
3,2.015,1,-1,0
3,2.033,1,1,0
3,1.835,1,-1,1
3,2.336,1,1,0
3,2.916,1,1,1
3,3.43,1,-1,0
3,2.446,1,-1,1
3,2.103,1,1,0
3,2.073,1,-1,0
3,2.844,1,-1,1
3,2.128,1,1,1
3,2.102,1,-1,0
3,2.264,1,1,1
3,1.859,1,-1,1
3,1.934,1,1,0
3,1.871,1,-1,1
3,2.925,1,1,0
3,2.226,1,-1,0
3,1.91,1,1,1
3,2.976,1,-1,0
3,3.202,1,-1,1
3,1.831,1,1,0
3,2.181,1,1,1
3,1.947,1,-1,1
3,2.476,1,-1,0
3,2.134,1,1,0
3,3.972,0,1,1
3,1.82,1,1,0
3,2.069,1,-1,1
3,3.384,1,-1,0
3,2.94,1,1,1
3,4.313,1,1,1
3,2.544,1,1,0
3,2.002,1,-1,1
3,2.649,1,-1,0
4,3.389,1,1,0
4,3.25790000000037,1,-1,1
4,2.11510000000149,1,1,1
4,2.75759999999963,1,-1,0
4,1.81819999999925,1,1,0
4,2.24609999999963,0,-1,1
4,1.92330000000074,1,1,1
4,1.85270000000112,0,-1,0
4,2.05309999999963,1,-1,0
4,1.83020000000112,1,1,0
4,2.10980000000075,1,1,1
4,2.091,1,-1,1
4,1.85169999999925,1,-1,0
4,2.75510000000149,1,1,1
4,1.86179999999888,1,1,0
4,2.23309999999963,1,-1,1
4,2.57929999999888,0,1,1
4,1.70739999999851,1,1,0
4,1.77380000000075,1,-1,0
4,1.73840000000037,1,-1,1
4,2.0365,1,-1,1
4,1.69109999999963,1,-1,0
4,2.04540000000037,1,1,0
4,3.58889999999851,0,1,1
4,3.21080000000075,1,1,0
4,1.92590000000037,1,-1,1
4,3.41990000000037,0,1,1
4,1.8025,1,-1,0
4,2.39819999999925,0,1,1
4,1.78879999999888,1,-1,0
4,2.101,1,1,0
4,1.83519999999925,1,-1,1
4,1.681,1,1,0
4,1.63090000000037,1,1,1
4,2.44840000000037,1,-1,0
4,1.68019999999925,1,-1,1
4,1.7175,1,1,1
4,1.72380000000074,1,1,0
4,1.86420000000112,1,-1,0
4,1.75690000000037,1,-1,1
4,1.59919999999925,1,1,0
4,1.62870000000112,1,1,1
4,1.81410000000149,1,-1,1
4,1.891,1,-1,0
4,1.85069999999926,1,-1,0
