"subj_id","rt","confidence","correct","present","easy"
2,3.40770000004768,0.5025,1,-1,0
2,4.0305,0.505,1,1,0
2,3.0525,0.705,1,-1,0
2,5.39589999997616,0.77,1,1,0
2,5.48780000001192,0.77,1,1,1
2,2.27790000003576,0.705,1,-1,1
2,6.2315,0.58,1,-1,0
2,4.05310000002384,0.67,1,-1,1
2,3.09210000002384,0.8825,1,1,1
2,3.09760000002384,0.56,1,1,0
2,2.96110000002384,0.45,1,-1,0
2,4.25689999997616,0.4925,1,-1,1
2,5.24959999996424,0.5225,1,1,0
2,2.42659999996424,0.3475,1,1,1
2,2.32230000001192,0.335,1,1,1
2,1.993,0.405,1,-1,0
2,3.78039999997616,0.8225,1,-1,1
2,3.44509999996424,0.315,1,1,0
2,3.47840000003576,0.415,1,-1,0
2,4.05869999998808,0.215,1,1,0
2,2.95380000001192,0.805,1,-1,1
2,5.50780000001192,0.33,0,1,1
3,3.726,0.648148148148148,1,1,1
3,3.491,0.540740740740741,1,-1,0
3,4.714,0.475925925925926,0,1,0
3,3.763,0.507407407407407,1,-1,1
3,3.296,0.6,1,1,1
3,5.989,0.483333333333333,0,1,0
3,2.777,0.633333333333333,1,-1,0
3,4.188,0.748148148148148,1,-1,1
3,4.048,0.32962962962963,1,1,1
3,3.771,0.648148148148148,1,-1,0
3,4.471,0.712962962962963,1,-1,1
3,4.105,0.774074074074074,1,1,0
3,4.38,0.625925925925926,1,-1,1
3,2.981,0.781481481481481,1,-1,0
3,4.7,0.483333333333333,0,1,0
3,2.721,0.742592592592593,1,-1,1
3,2.992,0.666666666666667,1,1,1
3,3.474,0.642592592592593,1,-1,0
3,4.889,0.314814814814815,1,1,0
3,2.524,0.431481481481481,1,1,1
3,6.357,0.494444444444444,1,-1,0
3,2.441,0.718518518518519,1,-1,1
3,3.275,0.637037037037037,1,-1,0
3,2.662,0.768518518518518,1,1,1
3,3.383,0.409259259259259,0,1,0
3,2.536,0.67037037037037,1,-1,1
3,3.8,0.688888888888889,1,-1,0
3,2.756,0.624074074074074,1,1,1
3,2.481,0.772222222222222,1,-1,1
3,3.284,0.607407407407407,1,1,0
3,2.291,0.898148148148148,0,-1,0
3,2.195,0.814814814814815,1,1,1
3,3.768,0.607407407407407,1,1,0
3,2.546,0.455555555555556,1,-1,1
3,2.234,0.67037037037037,0,-1,1
3,2.216,0.801851851851852,1,1,0
3,2.092,0.881481481481482,1,1,1
3,2.373,0.67037037037037,1,-1,0
3,2.702,0.62962962962963,0,-1,0
3,1.82,0.635185185185185,1,1,0
3,2.218,0.624074074074074,1,-1,1
3,1.922,0.753703703703704,1,1,1
3,5.563,0.244444444444444,0,-1,0
3,2.566,0.425925925925926,1,1,1
3,3.789,0.32962962962963,0,1,0
3,2.486,0.507407407407407,1,-1,1
3,1.928,0.737037037037037,1,1,1
3,1.987,0.637037037037037,1,-1,1
3,2.255,0.540740740740741,1,1,0
3,3.23,0.3,0,-1,0
3,3.306,0.514814814814815,0,-1,0
3,3.06,0.407407407407407,1,-1,1
3,2.148,0.783333333333333,1,1,1
3,2.524,0.383333333333333,0,1,0
3,3.629,0.518518518518519,1,-1,0
3,2.621,0.544444444444445,1,-1,1
3,2.11,0.762962962962963,1,1,1
3,4.107,0.516666666666667,1,1,0
3,2.38,0.796296296296296,1,-1,1
3,3.945,0.37037037037037,0,1,0
3,1.973,0.838888888888889,1,1,1
3,4.19,0.614814814814815,1,-1,0
4,2.87019999999925,0.806944444444444,1,-1,0
4,2.00579999999702,1,1,-1,1
4,1.64109999999776,1,1,1,1
4,1.77869999999925,1,1,1,0
4,1.5985,1,1,1,0
4,2.06660000000149,0.788888888888889,1,-1,1
4,2.0245,0.920833333333333,1,-1,0
4,2.32829999999702,1,1,1,1
4,1.48,1,1,1,1
4,2.43269999999925,0.879166666666667,1,-1,0
4,1.8695,0.943055555555556,1,1,0
4,1.628,0.958333333333333,1,-1,1
4,2.11860000000149,1,1,-1,1
4,2.28789999999851,0.898611111111111,1,-1,0
4,2.03760000000149,1,1,1,1
4,1.98419999999926,1,1,1,0
4,1.81440000000224,0.883333333333333,1,1,0
4,1.80869999999926,1,1,1,1
4,1.72460000000149,0.954166666666667,1,-1,1
4,1.62289999999851,0.902777777777778,1,-1,0
4,2.31829999999702,0.922222222222222,0,1,0
4,1.5675,1,1,-1,1
4,4.20030000000074,1,1,1,1
4,1.94339999999851,1,1,-1,0
4,1.82190000000224,0.909722222222222,1,-1,0
4,2.71089999999851,0.908333333333333,1,1,1
4,1.845,0.945833333333333,1,1,0
4,2.663,1,1,-1,1
4,2.3865,0.886111111111111,1,1,0
4,2.95889999999851,0.958333333333333,1,-1,1
4,1.544,1,1,-1,0
4,1.49460000000149,0.890277777777778,1,1,1
4,2.3025,0.715277777777778,0,-1,0
4,3.02230000000075,1,1,1,0
4,1.55409999999776,1,1,-1,1
4,1.631,1,1,1,1
4,1.37039999999851,1,1,-1,1
4,1.42280000000075,1,1,1,0
4,2.8775,1,1,-1,0
4,1.82419999999925,1,1,1,1
4,2.17459999999776,1,1,1,1
4,2.03669999999925,0.8625,1,-1,1
4,1.64010000000149,0.922222222222222,1,-1,0
